candidate_id,district,party,name,district_name,degree_status,domain,domain row,First Degree University,First Degree University,Second Degree,Second Degree University,Third Degree,Third Degree University,Fourth Degree,Fourth Degree University
140,14,Solidarity,Paul Wilcox,Maryhill,,,,,,,,,,,
141,14,Labour,Robert Winter,Maryhill,,,,,,,,,,,
142,15,Scottish Green,Kay Allan,Newlands,,,,,,,,,,,
143,15,BNP,Charlie Baillie,Newlands,,,,,,,,,,,
144,15,Scottish Socialist,Eamonn Coyle,Newlands,,,,,,,,,,,
145,15,Labour,Stephen Curran,Newlands,,,,,,,,,,,
146,15,SNP,Colin Deans,Newlands,,,,,,,,,,,
147,15,Conservative,Robert Mcelroy,Newlands,,,,,,,,,,,
148,15,Labour,Jim Mcnally,Newlands,,,,,,,,,,,
149,15,Solidarity,Gordon Morgan,Newlands,,,,,,,,,,,
150,15,Liberal Democrats,Robert W Stewart,Newlands,,,,,,,,,,,
151,16,Labour,Gilbert Davidson,NorthEast,,,,,,,,,,,
152,16,Conservative,John France,NorthEast,,,,,,,,,,,
153,16,Labour,Gerald Leonard,NorthEast,,,,,,,,,,,
154,16,Scottish Green,Stewart Macdonald,NorthEast,,,,,,,,,,,
155,16,Liberal Democrats,John C Macpherson,NorthEast,,,,,,,,,,,
156,16,Labour,Catherine Mcmaster,NorthEast,,,,,,,,,,,
157,16,Scottish Socialist,Andy Mcpake,NorthEast,,,,,,,,,,,
158,16,Solidarity,Joanne Reilly,NorthEast,,,,,,,,,,,
159,16,Independent,George Savage,NorthEast,,,,,,,,,,,
160,16,SNP,Grant R Thoms,NorthEast,,,,,,,,,,,
161,17,Scottish Unionist,George Aytoun Atkinson,Partick,,,,,,,,,,,
162,17,Scottish Green,Stuart Clay,Partick,,,,,,,,,,,
163,17,Labour,Aileen Colleran,Partick,,,,,,,,,,,
164,17,Labour,Irene Graham,Partick,,,,,,,,,,,
165,17,Scottish Socialist,Andrew Gray,Partick,,,,,,,,,,,
166,17,Liberal Democrats,Christopher Mason,Partick,,,,,,,,,,,
167,17,SNP,Kenny Mclean,Partick,,,,,,,,,,,
168,17,Solidarity,Jimmy Ross,Partick,,,,,,,,,,,
169,17,Conservative,Richard Alan Sullivan,Partick,,,,,,,,,,,
170,18,Scottish Socialist,Ali Ashraf,Pollokshields,,,,,,,,,,,
171,18,Independent,Karin Currie,Pollokshields,,,,,,,,,,,
172,18,SNP,Khalil Malik,Pollokshields,,,,,,,,,,,
173,18,Conservative,David Meikle,Pollokshields,,,,,,,,,,,
174,18,Liberal Democrats,Isabel Nelson,Pollokshields,,,,,,,,,,,
175,18,Labour,Irfan Rabbani,Pollokshields,,,,,,,,,,,
176,18,Scottish Green,Ian A Ruffell,Pollokshields,,,,,,,,,,,
177,18,Independent,Muhammad Shoaib,Pollokshields,,,,,,,,,,,
178,18,Solidarity,Fatima Uygun,Pollokshields,,,,,,,,,,,
179,19,Scottish Socialist,Mick Eyre,Shettleston,,,,,,,,,,,
180,19,BNP,Walter Hamilton,Shettleston,,,,,,,,,,,
181,19,Solidarity,Wheatley Harris,Shettleston,,,,,,,,,,,
182,19,Liberal Democrats,David Jackson,Shettleston,,,,,,,,,,,
183,19,Scottish Unionist,Gordon Kirker,Shettleston,,,,,,,,,,,
184,19,Scottish Green,Catherine Maguire,Shettleston,,,,,,,,,,,
185,19,Labour,Tom Mckeown,Shettleston,,,,,,,,,,,
186,19,SNP,John F Mclaughlin,Shettleston,,,,,,,,,,,
187,19,Labour,Euan Mcleod,Shettleston,,,,,,,,,,,
188,19,Labour,George Ryan,Shettleston,,,,,,,,,,,
189,19,Conservative,Alex White,Shettleston,,,,,,,,,,,
190,20,Scottish Green,Danny Alderslowe,SouthsideCentral,,,,,,,,,,,
191,20,SNP,Jahangir Hanif,SouthsideCentral,,,,,,,,,,,
192,20,Scottish Socialist,Rosie Kane,SouthsideCentral,,,,,,,,,,,
193,20,Conservative,John B Marshall,SouthsideCentral,,,,,,,,,,,
194,20,Liberal Democrats,Katy Mccloskey,SouthsideCentral,,,,,,,,,,,
195,20,Solidarity,Jill Mcgowan,SouthsideCentral,,,,,,,,,,,
196,20,Labour,Anne Marie Millar,SouthsideCentral,,,,,,,,,,,
197,20,Labour,Hanif Raja,SouthsideCentral,,,,,,,,,,,
198,20,Labour,James Scanlon,SouthsideCentral,,,,,,,,,,,
199,21,SNP,Margaret Bean,Springburn,,,,,,,,,,,
200,21,Solidarity,Graham Campbell,Springburn,,,,,,,,,,,
201,21,Conservative,Graeme Dickson,Springburn,,,,,,,,,,,
202,21,SNP,Phil Greene,Springburn,,,,,,,,,,,
203,21,Scottish Green,Patrick Mcaleer,Springburn,,,,,,,,,,,
204,21,Scottish Unionist,Robert G C Sawers,Springburn,,,,,,,,,,,
205,21,BNP,Kenny Smith,Springburn,,,,,,,,,,,
206,21,Labour,Allan Stewart,Springburn,,,,,,,,,,,
207,21,Liberal Democrats,John H Stuart,Springburn,,,,,,,,,,,
208,21,Labour,James Todd,Springburn,,,,,,,,,,,
